gene	log2FC
SOS1	0.463
CCNE1	-3.825
NRAS	0.095
CDK4	3.938
SMAD4	2.845
BRAF	-4.372
E2F2	-3.153
NFKB1	-2.11
MYC	-1.95
BRCA2	4.324
LCK	3.644
MAPK3	3.857
CXCL8	2.987
FGFR3	2.349
PIK3CA	1.294
PTEN	0.833
IL6	2.203
CDKN2A	-1.937
GATA3	1.022
E2F2	-3.728
RAF1	-3.458
NOTCH1	-3.349
MET	3.656
STAT3	-1.999
HRAS	0.973
HRAS	3.195
E2F2	-4.215
MDM2	-4.361
TP53	3.78
RAF1	2.158
SMAD4	3.434
CXCL8	2.306
RAF1	-1.713
MAP2K2	-4.739
APC	1.75
ABL1	0.476
NRAS	-0.494
SMAD4	2.736
E2F2	3.499
IL6	1.375
SRC	0.5
SYK	-4.501
MAP2K2	-4.571
GRB2	4.938
LCK	4.608
IL6	-3.201
CDKN1A	3.902
CCND1	-4.149
KRAS	-2.123
SMAD4	2.69
GRB2	-3.162
FGFR2	-3.193
SHC1	-0.795
NRAS	-1.054
REL	-1.4
BRCA2	-1.151
FGFR3	-1.366
PTEN	-2.51
MAP2K2	1.796
MDM2	-3.331
MAPK1	0.637
TNF	2.845
SHC1	1.567
MAP2K1	-1.276
MAPK3	3.351
E2F2	3.944
FGFR3	-1.581
APC	-4.313
CCND1	-2.642
MKI67	-1.534
LCK	-0.276
SRC	2.546
MAP2K1	-4.573
ABL1	0.856
EGFR	-0.839
NFKB1	1.055
STAT3	2.358
SOS1	-0.867
KRAS	-1.261
SRC	2.604
NFKB1	4.144
STAT3	1.358
BRCA1	2.056
SHC1	-1.2
JUN	4.852
CDK4	4.771
CDK4	3.657
CDKN2A	-3.194
PTEN	3.759
CCND1	1.618
PDGFRA	-2.043
SHC1	-2.737
HIF1A	-4.62
CXCL8	3.57
PCNA	-2.602
TNF	-4.572
GATA3	-1.986
CDKN2A	-4.419
APC	-2.024
SRC	1.413
MAPK1	4.188
SHC1	2.372
TP53	0.749
CDKN2A	0.751
NRAS	1.263
MKI67	3.825
IL6	3.91
JUN	-2.118
NRAS	-3.446
MAP2K2	4.011
BRAF	-1.479
EGFR	4.398
ERBB2	4.245
MYC	0.584
CDKN2A	3.878
MET	2.299
CCNE1	0.588
BRCA2	-0.283
MAP2K2	-2.474
JAK2	-2.359
KIT	-0.508
MET	0.905
BRAF	4.748
CDKN2A	3.678
FGFR1	-0.084
BRCA2	1.092
RB1	-1.082
GATA3	0.476
FGFR1	-4.962
FOS	-4.926
CXCL8	3.472
VHL	4.868
SOS1	-2.762
PCNA	3.814
FGFR3	3.588
NOTCH1	0.114
KRAS	-3.193
NFKB1	-4.896
CCNE1	2.308
MAP2K1	-3.109
EGFR	-4.668
MYC	-3.532
ABL1	-2.926
FGFR1	-1.265
RB1	3.014
ERBB2	-0.16
MAP2K2	3.227
STAT3	-3.83
CDK2	2.214
VHL	4.477
HIF1A	-4.959
SHC1	-4.716
MAPK1	2.919
SHC1	2.488
GATA3	-4.402
MAPK1	3.315
CDK2	-2.309
PTEN	-0.936
BRCA2	-3.218
PIK3CA	1.431
FGFR3	-2.052
CDK4	2.477
TNF	0.435
MAPK3	-1.684
JAK2	1.475
CDK4	0.822
SHC1	4.276
MAPK3	-2.997
FGFR3	2.2
SYK	4.246
ERBB2	-4.147
MDM2	-3.194
MAPK3	4.099
MAPK3	-0.517
SHC1	-2.963
NRAS	-4.043
SHC1	-0.687
SYK	-2.486
BRCA2	4.961
NOTCH1	-1.587
IL6	-2.918
SHC1	3.712
PCNA	-2.221
BRCA1	-0.934
CDK6	-1.756
CDKN1B	-3.383
SYK	-3.548
NOTCH1	-3.598
CDKN1A	-0.157
BRCA2	1.056
NOTCH1	4.763
MYC	-1.415
BRAF	-0.887
HIF1A	1.425
VHL	-1.872
KIT	0.328
NRAS	2.202
REL	0.198
JAK2	2.875
BRCA1	3.465
MET	1.358
KIT	2.238
CDH1	0.762
ERBB2	-2.827
PTEN	0.282
SRC	3.2
SRC	-1.896
APC	-2.24
PDGFRA	-2.054
PCNA	2.954
EGFR	-3.035
VHL	1.165
FGFR1	-4.287
ERBB2	4.259
E2F2	3.882
CCNE1	1.838
GRB2	-0.48
HRAS	3.316
HIF1A	0.29
HIF1A	0.04
HIF1A	-0.424
NRAS	0.654
TP53	2.218
PCNA	-4.412
CDK6	3.072
EGFR	2.617
PCNA	2.922
PTEN	-4.402
KRAS	-1.951
APC	0.144
CDK6	-3.792
CCNE1	1.255
BRAF	-0.346
CDKN1B	-1.029
CDKN2A	2.526
AKT1	-3.612
NFKB1	-2.535
FGFR1	-2.182
IL10	-3.349
CDK2	-2.536
E2F2	-4.177
REL	-3.075
FGFR2	-1.81
CDK4	4.343
CXCL8	-1.83
BRCA1	-0.514
TP53	1.379
CDKN2A	2.347
ABL1	4.859
AKT1	-2.884
SYK	0.603
SHC1	3.829
CDK6	0.084
HIF1A	-2.189
CDKN2A	3.583
GRB2	-2.636
MET	-0.294
SHC1	2.244
LCK	-2.662
CDK2	2.921
PTEN	-1.1
LCK	3.606
SYK	2.535
IL10	0.699
SRC	3.15
MYC	0.674
TP53	0.495
MAPK1	3.533
FGFR2	-2.002
SYK	4.888
SOS1	0.328
CDK6	-2.156
CXCL8	4.001
TERT	-3.95
FGFR3	-0.856
NOTCH1	-1.044
TP53	-2.82
PCNA	-0.964
MET	2.894
KRAS	2.547
ERBB2	-4.262
ERBB2	-3.59
TNF	4.84
SMAD4	-0.386
MAP2K2	-3.138
BRAF	2.444
SRC	3.568
MET	1.734
CDKN1B	0.297
REL	-4.999
MAPK1	3.063
NFKB1	1.768
FOS	0.06
CDKN2A	1.226
CDK4	4.106
JUN	1.686
STAT3	0.105
BRCA2	-1.554
CDH1	-1.93
CXCL8	1.499
GRB2	-4.511
ERBB2	-1.278
CDKN1A	1.001
IL6	-2.232
BRCA1	0.819
NRAS	-3.919
LCK	0.592
GATA3	2.977
MDM2	-1.462
HRAS	1.793
MET	2.153
MDM2	4.776
HIF1A	-3.789
CDH1	0.673
BRCA2	-0.715
CDK2	-1.949
CDKN1B	4.775
CCNE1	-4.62
NOTCH1	-3.507
ERBB2	4.954
NRAS	0.451
CCND1	-3.907
NOTCH1	-2.718
FGFR3	-2.615
MDM2	-4.957
LCK	-2.316
STAT3	-3.832
JUN	-0.838
CDKN1B	-2.276
MDM2	-4.163
PIK3CA	-3.751
ABL1	-1.58
JAK2	-0.289
BRAF	2.204
HIF1A	2.457
JAK2	-2.618
HIF1A	-1.694
CDK6	-2.283
CDH1	-1.441
FGFR3	-2.348
CDH1	-1.957
IL6	2.847
FGFR2	-3.98
ABL1	3.185
NRAS	-3.787
CCND1	0.623
FOS	2.268
CDH1	1.096
CDKN1B	-4.715
GATA3	-2.653
CDK2	4.642
LCK	0.565
TP53	-1.891
MET	4.97
MDM2	-4.684
SYK	0.124
IL10	1.644
HRAS	1.383
HRAS	-3.153
AKT1	-3.715
CDK2	-4.123
CDH1	-0.762
CCNE1	2.396
CDKN1A	3.764
TNF	4.272
PTEN	-3.364
MET	4.637
ERBB2	-4.342
CDKN1A	-2.156
CDK2	-1.506
NOTCH1	-3.044
TNF	-4.408
REL	0.414
VEGFA	3.361
PCNA	-4.354
CDKN1A	-4.033
TP53	-2.532
VHL	2.817
FGFR3	2.406
SHC1	0.183
MET	0.996
HRAS	-1.181
NFKB1	0.707
TP53	-1.164
CDH1	3.685
E2F2	4.842
TP53	-4.107
FGFR2	-4.742
ABL1	-1.86
CDH1	-1.689
APC	2.529
CDKN1A	-3.244
RB1	-3.53
SRC	3.358
NFKB1	1.686
GATA3	-0.164
E2F1	-2.671
SYK	1.691
SHC1	-2.421
RB1	3.283
RAF1	3.954
NRAS	2.662
ABL1	-4.263
NFKB1	2.221
SYK	-1.318
CDKN1A	-4.82
KRAS	-1.245
ABL1	-0.882
TNF	-2.521
CCND1	-2.944
SOS1	-2.074
SOS1	0.251
MAP2K2	-3.506
APC	3.537
SHC1	-4.688
REL	-0.854
CDK4	4.213
MKI67	-1.566
SHC1	4.303
CDKN1A	2.696
MAPK3	-0.897
CCNE1	-4.318
SYK	-0.938
MAP2K2	0.833
NRAS	0.509
PIK3CA	-3.279
STAT3	1.591
BRCA1	4.159
E2F2	0.341
SHC1	-2.965
MDM2	-4.943
SMAD4	-3.658
SRC	3.575
PCNA	4.593
MET	-0.923
PIK3CA	3.965
CDKN1A	0.227
APC	-2.669
CCND1	-1.387
SMAD4	-1.494
E2F1	-3.236
MAP2K2	3.118
MAP2K1	4.375
NFKB1	-4.321
SYK	-2.073
JUN	-1.125
CXCL8	2.841
CXCL8	-2.885
ERBB2	-2.108
CDK4	1.626
JUN	-4.868
CDKN1A	-2.846
PCNA	0.347
PCNA	-4.446
JAK2	-2.623
PCNA	1.341
E2F2	2.758
MAPK3	-0.187
PCNA	2.926
MYC	3.559
MAP2K1	3.333
EGFR	3.771
STAT3	-0.527
BRCA2	-3.704
MET	-1.704
SMAD4	-0.389
SYK	-0.011
NOTCH1	3.305
PCNA	1.978
STAT3	-0.809
NOTCH1	-3.148
BRCA1	1.713
MYC	-1.329
SHC1	4.628
FGFR2	1.481
NOTCH1	1.169
CDKN1B	2.663
GATA3	-4.905
NOTCH1	2.607
APC	1.925
CCND1	0.069
MDM2	-2.459
KIT	4.16
RAF1	2.068
NRAS	-3.307
MET	2.065
CDK4	-4.009
VEGFA	4.066
SOS1	2.173
SOS1	0.23
VEGFA	3.613
APC	2.592
HRAS	-4.637
MAP2K1	-4.09
GATA3	3.511
IL10	-2.229
GRB2	3.076
CXCL8	-3.306
SMAD4	-4.144
MDM2	4.336
CDK6	-1.898
SHC1	-3.16
MYC	-4.607
CCNE1	-0.558
BRCA2	2.377
PCNA	-3.733
MET	2.691
GATA3	-2.993
MET	1.752
NRAS	2.891
REL	4.02
CDKN1A	3.748
CXCL8	-1.146
MAPK1	0.65
E2F2	4.395
CDK2	-4.517
IL6	-0.773
VHL	-1.908
CCND1	4.648
STAT3	0.405
NRAS	-0.656
SOS1	-2.227
CDKN1A	2.368
CCNE1	4.248
BRAF	2.485
SHC1	4.053
SOS1	-1.466
BRAF	-2.739
MAP2K2	3.65
JAK2	1.274
MKI67	3.669
JUN	-3.951
ABL1	3.322
PTEN	-0.397
IL6	-2.137
CDKN2A	-3.597
FGFR2	-1.072
TNF	-3.917
MKI67	3.985
E2F1	-1.6
ERBB2	-3.25
LCK	2.758
CXCL8	3.034
BRCA1	-2.849
IL6	0.696
BRAF	4.331
E2F2	4.717
GATA3	-0.556
KIT	1.562
MDM2	-0.095
MAP2K2	2.33
SMAD4	1.762
GATA3	-2.793
MAP2K2	-0.403
CDK4	4.156
JAK2	-3.789
IL6	2.653
PCNA	-0.349
TNF	-3.733
SMAD4	4.131
RB1	-0.737
MAP2K1	-2.018
CCND1	-1.518
STAT3	-0.68
MYC	-1.816
MET	4.375
MYC	-1.342
APC	-2.152
MAP2K1	0.404
BRCA1	0.185
FOS	-2.994
SMAD4	-1.907
CDK2	4.906
CDKN2A	-0.296
HIF1A	-0.641
PIK3CA	3.566
PCNA	-0.814
PTEN	-2.229
RB1	-2.119
BRCA1	-2.338
KIT	-4.128
GATA3	-2.575
SRC	3.289
MDM2	3.638
SRC	4.793
MYC	0.427
FGFR1	-4.571
SYK	2.039
CDKN1B	3.335
PIK3CA	3.992
PCNA	2.334
NOTCH1	0.819
SYK	2.18
MAP2K1	-4.816
PIK3CA	-0.117
CCND1	-1.414
MKI67	-0.052
JAK2	-4.203
BRAF	-3.894
IL10	-0.984
MAPK3	-0.605
TNF	-1.961
CCNE1	0.678
MET	-2.911
CDKN1B	-2.167
CXCL8	1.503
MDM2	1.845
FGFR1	-3.528
VEGFA	-4.188
MET	2.728
NOTCH1	4.879
GATA3	2.963
FGFR3	-3.227
LCK	1.712
SHC1	2.338
TERT	2.066
TP53	2.108
JUN	-2.216
PIK3CA	-3.537
MYC	-2.378
ERBB2	-2.045
JAK2	0.18
MAP2K1	2.5
FGFR1	-4.742
MET	-1.179
AKT1	-1.049
NOTCH1	1.279
STAT3	-1.872
CDKN1A	2.957
BRCA1	-2.991
RB1	-2.805
SHC1	4.22
SMAD4	1.81
CDK2	2.707
SMAD4	-1.319
MAP2K2	-0.345
FGFR2	-0.698
NRAS	1.791
CDK2	1.28
APC	-0.419
JAK2	2.733
NRAS	3.96
CCNE1	4.945
IL6	3.285
HRAS	-4.604
BRCA2	3.76
TP53	1.713
RAF1	-0.943
CDH1	-2.172
JAK2	2.341
IL10	1.154
SHC1	-0.614
CDK4	-0.387
PIK3CA	-3.79
BRAF	-0.263
APC	-1.538
TNF	-0.814
FOS	-0.957
FOS	-3.561
SOS1	-2.546
HIF1A	-3.279
JAK2	3.891
FGFR2	2.964
NOTCH1	-0.042
GATA3	0.776
REL	-2.489
E2F1	-2.258
MAPK3	-0.646
IL6	0.708
CDK6	0.917
NFKB1	-4.271
CDK2	2.462
IL6	-4.079
MKI67	2.527
MAPK1	3.018
E2F1	0.608
ERBB2	-2.22
RAF1	-0.598
PIK3CA	2.863
MAP2K1	-1.798
NOTCH1	-4.654
FGFR3	-0.944
TERT	0.918
MAPK1	-4.772
CCND1	-0.094
FGFR2	1.495
REL	0.226
NFKB1	-1.438
ABL1	0.902
ABL1	-3.164
CDKN1B	-3.401
NOTCH1	-2.93
PDGFRA	2.978
ABL1	3.469
MDM2	0.804
ABL1	-4.08
ABL1	-4.392
EGFR	-3.922
MAP2K1	-4.876
NFKB1	-2.922
RAF1	-2.348
RB1	-1.135
GATA3	-3.63
PCNA	4.694
PTEN	-1.926
RB1	4.076
CDKN2A	2.317
FGFR2	0.437
CDK4	-1.647
EGFR	-1.498
VHL	-2.214
PCNA	-3.798
KRAS	2.039
NFKB1	-3.429
PIK3CA	3.911
KRAS	-3.875
IL6	0.25
CDK4	1.448
APC	-3.693
AKT1	-3.158
RB1	-4.46
KRAS	3.546
CDKN2A	-1.418
CDKN1A	1.853
GRB2	-3.414
MKI67	4.086
CDH1	2.559
MAPK3	-1.824
IL10	0.298
SHC1	3.575
REL	-1.389
CDKN1B	4.951
TNF	0.584
RAF1	4.7
HRAS	-3.423
MAPK1	-3.778
FGFR3	4.338
NRAS	4.332
SRC	-0.017
BRCA2	0.235
MKI67	4.835
BRCA1	-1.821
CCND1	-0.681
CXCL8	-1.512
FGFR2	2.941
PTEN	1.74
LCK	3.428
CDKN1A	0.587
MYC	2.001
GRB2	-2.634
KRAS	-0.053
APC	-1.224
ABL1	4.159
BRAF	0.078
FGFR1	2.886
FOS	2.208
SYK	0.915
FOS	0.329
CDK2	4.969
PIK3CA	4.428
E2F1	-3.32
CDKN1B	4.358
CDK4	1.08
PTEN	-4.607
RAF1	3.338
E2F1	-4.978
PCNA	-4.983
CCND1	0.893
ERBB2	-1.077
CDKN1B	-1.779
APC	-3.867
SHC1	0.575
SMAD4	0.598
MAP2K1	-1.773
SHC1	-1.58
CCND1	-3.635
VHL	-1.213
CDKN1A	-1.696
KRAS	-3.254
PIK3CA	-4.301
NRAS	-1.532
PCNA	-0.709
RAF1	2.027
RB1	0.645
FGFR2	-4.73
CDKN1B	0.303
PCNA	1.888
MKI67	-4.464
CDKN2A	1.571
MKI67	-3.762
TP53	-2.858
PTEN	4.047
RAF1	2.621
SHC1	4.036
MYC	-1.8
SMAD4	0.141
VEGFA	0.134
CDK4	-2.541
KIT	0.372
RAF1	3.974
MAP2K1	-2.272
BRAF	1.46
EGFR	-0.422
CDKN1A	1.975
BRAF	-1.224
MAPK3	3.928
TERT	-4.413
CDK4	-1.178
ERBB2	-4.629
NFKB1	1.679
CDK4	-1.824
SOS1	-2.005
CXCL8	-4.304
PCNA	3.953
TNF	0.869
E2F2	-3.786
CDKN1A	-4.892
MAPK1	-2.148
SMAD4	-0.329
SYK	0.992
MET	-1.313
SMAD4	-1.656
APC	3.678
SMAD4	3.636
NFKB1	-0.509
RB1	-3.799
IL10	-1.832
PCNA	1.717
BRCA2	-0.342
FGFR3	-2.05
CDK2	-3.019
APC	-1.169
HRAS	-3.157
BRCA2	0.287
KRAS	-0.887
KRAS	2.451
AKT1	-4.881
CDK2	0.29
ERBB2	4.467
JAK2	3.02
GATA3	-4.14
GRB2	0.202
PDGFRA	0.428
GATA3	1.353
BRCA2	-2.56
MAP2K2	-3.274
STAT3	-4.008
TP53	1.77
JAK2	-2.937
MET	-2.202
RB1	-4.637
APC	4.51
CDKN1B	-4.258
VHL	3.396
KIT	-2.913
CDK2	-2.543
MAP2K1	1.543
MAP2K2	-0.846
MAP2K2	-2.919
CCNE1	-3.412
CDK2	2.5
AKT1	-0.022
BRCA1	1.138
NOTCH1	2.286
CDK4	1.819
PCNA	2.212
MAP2K1	4.805
FOS	0.688
FGFR2	-0.845
FGFR3	-2.261
MAPK3	4.872
KIT	-3.332
MAPK3	-4.537
CCND1	-0.415
KIT	-4.02
SMAD4	0.637
TNF	0.014
VEGFA	2.713
STAT3	-2.103
MYC	3.985
MDM2	3.964
E2F2	2.339
IL10	4.595
TERT	3.258
NRAS	3.287
FGFR3	3.211
KIT	4.144
RB1	2.606
GRB2	-3.847
PIK3CA	-0.496
CXCL8	-4.047
IL6	3.624
AKT1	-3.121
FOS	-1.089
PCNA	0.792
CDKN1B	2.676
PIK3CA	3.796
BRAF	-2.123
CDK2	2.067
MAP2K2	-2.608
HRAS	-1.485
E2F2	3.256
CDK2	2.314
REL	2.526
SYK	4.585
SOS1	-3.451
JAK2	3.025
LCK	-3.832
HRAS	-0.419
TP53	-2.289
FGFR1	-1.009
AKT1	-2.144
CCND1	2.526
E2F2	4.705
VEGFA	4.784
PDGFRA	2.026
SYK	-2.577
CDH1	-2.812
CXCL8	2.668
FGFR1	3.84
E2F2	-0.352
FGFR3	0.416
CDK6	3.266
HRAS	-0.479
CDKN2A	-4.143
IL6	-0.235
PDGFRA	-0.14
BRCA1	4.607
REL	2.2
HRAS	-2.991
HRAS	-2.848
VEGFA	-1.757
HIF1A	4.988
PCNA	-0.177
TNF	-2.54
E2F2	2.917
PCNA	0.003
NOTCH1	1.724
EGFR	0.302
SOS1	-0.026
SMAD4	-4.295
CDK6	-0.331
BRAF	4.236
MET	4.262
AKT1	2.251
JUN	2.962
MYC	-2.401
LCK	4.67
SOS1	1.467
LCK	-4.867
JAK2	4.601
ABL1	1.55
ABL1	3.645
KIT	-3.858
E2F1	-0.02
CDKN1A	-3.243
IL6	1.752
BRCA2	-1.949
NRAS	0.564
FGFR2	-4.325
JAK2	-3.805
HIF1A	0.073
TNF	-4.078
FGFR3	-4.158
CDKN1A	-0.78
MYC	-4.554
SYK	-1.244
CDK6	1.641
KRAS	-1.519
CDK6	1.867
CDK2	-2.732
TP53	-3.674
CDKN1B	-4.396
VEGFA	3.787
VHL	0.066
NOTCH1	2.547
HIF1A	1.246
FGFR3	2.839
RAF1	0.609
MET	-3.772
MAP2K1	-2.156
CDK6	-0.37
APC	2.707
APC	1.219
SOS1	-0.206
SYK	4.971
JAK2	-4.415
STAT3	0.951
VEGFA	4.39
E2F2	-0.491
MKI67	-3.796
RAF1	-2.92
SHC1	-2.705
MDM2	0.761
TNF	4.161
KRAS	-0.437
MAPK3	-3.43
MAP2K1	0.845
FGFR3	-2.663
FOS	0.986
NRAS	1.7
SMAD4	-2.32
MAP2K1	2.078
MAP2K2	4.123
STAT3	0.021
JAK2	1.001
SRC	-4.713
APC	0.717
CDH1	0.318
SMAD4	2.058
E2F2	4.257
IL6	0.148
CDK2	-1.396
CDKN2A	2.171
MET	3.02
PDGFRA	2.389
CDK6	-4.755
ERBB2	2.879
FOS	2.894
NRAS	2.15
MDM2	0.404
E2F2	-4.145
IL10	-0.095
NFKB1	1.46
SOS1	-3.641
CDH1	1.035
FGFR3	-2.963
APC	1.002
PIK3CA	0.2
TNF	-0.3
SOS1	1.603
MET	1.187
SYK	4.609
VHL	-1.564
PDGFRA	0.771
BRAF	1.841
CCND1	-1.766
NOTCH1	-3.554
CDK4	-3.322
JAK2	0.656
E2F2	-1.729
RAF1	3.423
RB1	1.359
TNF	-2.127
MAPK1	1.084
FOS	2.464
PDGFRA	4.619
VEGFA	-1.879
CDK4	1.16
TNF	2.735
RB1	0.927
FGFR2	-2.507
NRAS	1.318
EGFR	1.569
CXCL8	-4.677
CDK4	1.313
MET	-0.064
MAP2K2	3.992
HRAS	2.632
VHL	0.703
BRAF	3.873
ABL1	4.801
REL	2.515
MDM2	4.597
ERBB2	0.303
RAF1	2.45
STAT3	-0.289
PIK3CA	2.531
CXCL8	4.859
MET	1.123
CDK6	0.047
PTEN	-4.043
CDK6	3.0
SHC1	4.142
RAF1	-2.144
LCK	1.401
ERBB2	0.595
MDM2	-2.573
CDH1	2.642
HRAS	4.218
SYK	1.191
TERT	0.011
BRAF	4.738
LCK	-4.875
IL6	-2.257
MAPK3	-0.421
VEGFA	4.115
BRAF	-4.048
EGFR	0.283
BRCA2	3.892
CDH1	-2.67
NOTCH1	-3.995
BRCA1	-2.015
STAT3	-4.993
FGFR2	-4.755
CDK4	-3.243
SMAD4	1.17
HIF1A	2.558
CCND1	4.63
AKT1	4.179
CDK2	1.363
SHC1	3.691
FOS	-0.793
CDKN1B	3.527
PCNA	-2.229
TP53	3.074
JAK2	0.102
APC	3.296
BRCA1	-3.624
NFKB1	4.343
SOS1	-0.151
TNF	0.548
HIF1A	-0.292
REL	1.631
PIK3CA	-4.063
PDGFRA	0.102
MAP2K2	0.419
PDGFRA	0.007
IL6	-2.239
JUN	1.533
BRCA1	1.447
NFKB1	3.845
SRC	1.376
MAP2K1	-0.291
CXCL8	4.745
CDKN1B	0.37
MET	-1.739
CDKN1A	1.192
CDK4	-4.955
CDKN1A	3.946
CDH1	1.213
FGFR3	4.38
GRB2	-0.782
MDM2	-2.868
CCND1	0.093
REL	-0.489
MAPK3	3.184
RB1	1.242
MAP2K1	-4.832
TNF	-4.54
PDGFRA	-1.441
CDK4	-4.456
FGFR2	-1.792
RAF1	2.091
MAP2K2	-3.018
AKT1	3.102
PTEN	2.514
KRAS	-4.774
CDK6	-3.74
PDGFRA	-4.012
SRC	0.925
FGFR3	4.267
IL6	3.417
MET	2.753
ERBB2	1.186
E2F1	-0.695
FOS	-2.617
SMAD4	0.185
STAT3	-0.371
SHC1	-0.114
NOTCH1	-1.811
EGFR	-0.75
FOS	-2.979
MAP2K2	-1.257
FOS	3.639
CDK4	-0.319
CDK6	-4.816
CDKN1A	1.121
REL	1.332
CXCL8	0.125
EGFR	4.652
TNF	-4.329
CCND1	-0.789
JUN	1.333
AKT1	-4.559
GRB2	-3.321
CDKN1A	2.026
PIK3CA	-1.273
APC	2.721
BRCA1	4.179
JAK2	-3.482
ABL1	-0.398
EGFR	-0.46
MKI67	-1.41
JUN	0.822
PTEN	3.195
SRC	1.691
SRC	-4.081
AKT1	1.476
SYK	-4.143
VEGFA	4.674
MDM2	-2.099
FGFR1	-2.883
RAF1	-0.785
VHL	-3.181
HRAS	-2.872
TERT	-0.255
IL10	-1.679
PIK3CA	-3.039
E2F2	-4.51
PTEN	-0.328
VEGFA	0.938
MET	-3.782
BRCA2	-4.346
ERBB2	1.147
SMAD4	-3.327
CXCL8	-1.245
PTEN	-0.965
CCNE1	3.274
REL	1.86
CDKN2A	0.276
SYK	0.177
SOS1	-4.552
RB1	-2.645
RAF1	-2.328
CDH1	-1.243
MYC	0.869
CDK6	-2.172
VHL	-0.145
CDK4	-3.012
VEGFA	-3.035
EGFR	0.372
SRC	-0.499
ABL1	4.32
HIF1A	-3.204
CDK6	-0.626
STAT3	-2.158
IL6	0.042
JUN	0.502
PCNA	1.295
CDK6	-2.134
IL10	-0.39
CDK2	-2.45
REL	-0.947
KIT	4.146
PTEN	-3.878
STAT3	-0.897
SRC	-1.041
JUN	4.303
PIK3CA	3.676
PDGFRA	-2.552
PCNA	-0.316
MET	3.745
MAPK3	-0.55
HIF1A	-0.713
CCND1	3.059
AKT1	-3.82
PTEN	0.658
CCNE1	3.22
HRAS	-2.924
SOS1	2.354
IL10	-1.364
SMAD4	2.338
JAK2	1.584
LCK	-4.553
IL10	-4.494
JUN	4.979
PIK3CA	-2.66
CDKN2A	-3.04
SYK	-2.376
CDKN2A	-1.067
MYC	1.752
CDH1	2.466
MYC	3.277
TERT	-0.179
ERBB2	-0.134
PCNA	4.74
RB1	4.604
RB1	2.674
BRAF	-3.682
TERT	2.515
AKT1	3.527
KIT	0.195
RAF1	0.657
MAP2K1	0.846
TP53	0.918
E2F2	-2.259
CDK2	-2.027
CDKN1A	1.672
STAT3	3.104
RAF1	2.003
JUN	-4.969
NRAS	3.685
BRCA2	4.041
TERT	4.481
SMAD4	-0.143
MKI67	-2.241
RB1	-3.151
EGFR	4.617
NFKB1	-4.043
NFKB1	-3.95
RB1	4.527
MKI67	-3.317
PTEN	-1.634
FGFR2	-1.124
CDKN2A	-1.651
BRAF	-0.778
MAPK3	-4.87
BRCA2	4.916
KIT	-2.492
CCND1	-3.165
KIT	-1.446
CDKN1B	1.405
MAPK3	4.807
MAP2K1	4.594
GRB2	4.4
SHC1	-3.089
VHL	-3.453
VEGFA	4.961
PDGFRA	-3.072
KIT	-4.642
LCK	0.682
SMAD4	-1.876
TP53	0.47
IL10	1.365
CDKN1B	-0.646
PIK3CA	1.989
FGFR1	-1.759
ABL1	-4.144
TP53	-4.063
KIT	2.706
E2F2	0.976
KIT	-3.383
EGFR	3.38
PCNA	-3.819
MET	-3.635
SHC1	4.062
LCK	1.364
E2F1	0.019
HIF1A	3.915
IL10	2.532
NOTCH1	4.394
HRAS	2.184
IL6	4.337
PDGFRA	-4.814
SHC1	-1.215
KIT	-3.698
E2F2	0.12
BRAF	-4.073
MYC	-0.342
VEGFA	-2.824
CDK2	3.219
CDK4	0.6
CDKN1B	-1.829
BRAF	-3.028
PTEN	-3.793
CDH1	4.121
FGFR3	-3.043
MAP2K2	-2.383
CDKN1A	3.619
APC	0.057
ERBB2	-2.012
CDK4	0.088
VEGFA	-2.557
SMAD4	-2.245
RB1	1.819
SMAD4	-3.803
GRB2	-4.295
CDKN1A	3.818
BRAF	-1.155
SHC1	-3.2
CDKN2A	-2.701
JUN	-0.869
MDM2	-2.095
CDKN1B	0.731
CDK6	1.769
FGFR1	-3.876
CCND1	3.405
CDK2	1.835
TERT	3.895
TNF	-3.307
BRAF	-4.62
APC	-2.391
CDKN2A	-0.865
TERT	4.229
CCND1	1.428
CDK2	-0.755
E2F2	-1.776
MAP2K1	4.849
MET	-4.412
CDK6	-0.577
IL6	1.287
NOTCH1	-4.244
CDKN1A	3.787
SOS1	3.424
MET	-0.151
CDKN1B	-2.511
SOS1	-3.234
PIK3CA	3.237
HRAS	-3.846
PTEN	-4.705
RAF1	1.565
BRCA1	-2.876
CXCL8	1.822
CDK2	3.8
BRCA1	-0.922
SHC1	0.406
FGFR1	1.404
JAK2	-2.507
HRAS	-0.088
NOTCH1	-0.682
CCND1	4.081
CXCL8	1.816
CDK2	4.613
IL10	2.559
HRAS	4.898
PDGFRA	-3.288
E2F1	1.221
CDK4	3.049
SRC	-1.416
E2F1	-3.741
TNF	-3.76
MKI67	-2.009
EGFR	-5.0
E2F1	-3.153
BRCA2	3.194
MAP2K1	4.076
IL6	2.875
PTEN	-4.378
LCK	0.874
SRC	-3.608
MAP2K2	4.973
PDGFRA	1.02
STAT3	2.381
BRCA2	3.581
TP53	-0.99
NOTCH1	3.843
NRAS	0.215
MAPK3	3.47
SMAD4	0.489
MAP2K1	-0.812
JAK2	-3.68
SOS1	4.937
PCNA	2.611
HRAS	0.645
CCND1	-3.705
FGFR2	4.408
APC	-3.315
MDM2	2.79
PDGFRA	1.549
SOS1	3.708
SYK	-4.018
RB1	0.574
FGFR3	2.062
JAK2	-2.07
SHC1	-3.726
